imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.058699775668511776, 1.2153889882704103, 0.03409705528582496, 1.1394751316613874, 1.0672784594453983, 1.0676455816914971, -1.1221169377895186, 0.11198735899914151, 3.992, 
-0.4165653782045347, 1.1656480595040457, -0.2445043061924549, 1.1175089303723862, 1.0538361277736625, 1.0604200225449083, -1.1070467386944596, 0.0064072826502342235, 4.021, 
0.4076466917326534, 1.0846983944880881, 0.1581627846441664, 1.0681763031840017, 1.0303432921175346, 1.0367188405611043, -1.0811150327990096, -0.09546003199982188, 4.043, 
0.5598625787653276, 1.02609383629961, 0.4056796078244691, 1.0318985898385944, 1.0204050262338544, 1.0112637269606175, -1.0456746502412178, -0.1910461117357471, 4.092, 
-0.06857184645958012, 1.1328166676173397, 0.11264261546079218, 1.081142176157778, 1.0486898059695982, 1.0309456333068623, -1.0007351469416512, -0.2822787138059893, 4.155, 
0.000507786573344899, 1.0940766990637272, 0.04302132387103716, 1.0654929589766484, 1.04009067032551, 1.024423148265707, -0.9453853411279285, -0.37062498871124594, 4.195, 
-0.03160285201645052, 1.2296403851697124, -0.002540261578046682, 1.1380069237185264, 1.0685596117631349, 1.0649915186676415, -0.8811198031582345, -0.45292009564667784, 4.225, 
0.5333325995172434, 1.0838232490056463, 0.3277497018963229, 1.0778254457313063, 1.038422441977039, 1.0379450618182409, -0.8079219079437332, -0.5287948805570126, 4.242, 
0.01769992327274947, 1.1998211865743913, 0.13624720933159876, 1.1298693342539508, 1.0663876891276367, 1.0595296117664725, -0.7285550376486962, -0.5953786320225937, 4.276, 
-0.05999535283228989, 1.1149067567572366, 0.014437916268865009, 1.0879832495112103, 1.0479506117431805, 1.0382008821021047, -0.6408052109677469, -0.6546106107513963, 4.292, 
-0.03733674733241184, 1.0841326013834465, -0.0178137307947083, 1.0583701533704517, 1.0357875942473032, 1.0218023070063502, -0.5484635648436149, -0.7036814762377591, 4.329, 
0.09214833308150133, 1.119569281543982, 0.05029601200489786, 1.0693126287347565, 1.0451756558060885, 1.0230936998910987, -0.45216154453850554, -0.7427102767165074, 4.378, 
0.023333463572308043, 0.6746496981250338, 0.03130450851014995, 0.8412010304542533, 0.9353321618789134, 0.8993607455606277, -0.3544303450074451, -0.7711564331906153, 4.413, 
0.19684023546588494, 1.107236198551001, 0.13532142188211863, 1.0102144271014597, 1.0278685161578762, 0.9828245648359708, -0.2603112199259459, -0.7886441446102337, 4.438, 
-0.05741889640484994, 0.9875295300013864, 0.01586934308325691, 0.9827679982303337, 1.0191220603216538, 0.9643280589178433, -0.15842336643037386, -0.7980487413047997, 4.464, 
0.0262513844875589, 1.0260373839115455, 0.022400030485615136, 0.9945553789812798, 1.0268218417682589, 0.9685763766658742, -0.05632702871695825, -0.7974466689832751, 4.493, 
0.09122030892179503, 1.1305047058014903, 0.06544812111420485, 1.0528447459298163, 1.0565504898596945, 0.9964926011909092, 0.04647259117608818, -0.7868623484390366, 4.523, 
0.03309004920146419, 1.0206096396046413, 0.04491506625610651, 1.007083051581666, 1.0352685249160432, 0.9727747220590302, 0.1492427262319353, -0.7660102041774517, 4.549, 
0.04756654279793426, 1.0264812339337501, 0.046386181609381454, 1.0011160720743904, 1.0309461022789677, 0.9710653834001252, 0.24781528621809876, -0.7355772720309134, 4.603, 
0.03691946152200237, 1.0131956011546015, 0.04033871797990779, 0.9944590743326253, 1.0247224878272605, 0.9704667225964726, 0.34246962777734224, -0.6959026092494921, 4.633, 
0.029647657813578247, 1.029017914413004, 0.033679529616196774, 1.003450313230408, 1.024893115712807, 0.9790780110104597, 0.4324060336319992, -0.647439815022329, 4.665, 
0.030109573887142804, 0.9979421075718823, 0.031220114050172058, 0.9909127167770344, 1.0146918645292664, 0.976565153832919, 0.5170095818939414, -0.5905845736014439, 4.702, 
0.09185870858436695, 1.032841887572584, 0.0687307602235897, 1.0082931270468338, 1.0204539580911078, 0.9880829204023841, 0.5951616764635953, -0.5261123094945209, 4.7330000000000005, 
0.05744938402973303, 1.0356425420264348, 0.06167555715323356, 1.0144584409447717, 1.0221330389858492, 0.9924915859791674, 0.6669381948257453, -0.4539904147839749, 4.7940000000000005, 
0.059388578105137764, 1.0578263757072603, 0.060262160741273836, 1.0280738853766738, 1.0275376330721766, 1.0005218809387, 0.7314125129646015, -0.3748978263358533, 4.824, 
0.055277952933512946, 1.0511593820139584, 0.05705304312910312, 1.027864137555694, 1.0263989425117752, 1.001427510282048, 0.7879174977327049, -0.2894649942684658, 4.834, 
0.08174701975662543, 1.073410159575409, 0.07229593478765575, 1.041273409918933, 1.031085748230123, 1.0098805183820039, 0.8355763490935618, -0.1988119275908512, 4.86, 
0.06133987125349982, 1.039380522517752, 0.06521616398302878, 1.0278274042202942, 1.0217152210064584, 1.0059822767520434, 0.873907710721297, -0.10378903054200048, 4.911, 
0.06800523769671005, 1.057888472595631, 0.06685590717224872, 1.035927150734076, 1.0232354200519438, 1.0124035294648888, 0.9022792736230361, -0.005984722038167849, 4.958, 
0.08776449356053323, 1.0703080778784553, 0.07970976337174424, 1.0447549207884577, 1.0263839413051206, 1.0178987401731725, 0.9206914998504881, 0.0943884214072877, 4.968, 
0.07053052906404417, 1.0579842649204882, 0.07383841010887847, 1.0403905821321187, 1.0235470323699956, 1.0164560584217828, 0.9288506639046703, 0.19626635870086473, 4.995, 
0.046681653705856835, 1.0897333432917387, 0.057079897965255325, 1.0565697988291025, 1.0307236418916812, 1.0250757389148326, 0.9266077509044661, 0.2984661945758533, 5.051, 
0.07405982074469883, 1.0991858643440442, 0.06753605848981542, 1.0649103996491212, 1.0345158909818175, 1.0293804173838812, 0.913887194088295, 0.40057026183243993, 5.093, 
0.03050249303662777, 1.1147978089762007, 0.044639468665655865, 1.0750944833036538, 1.039256135792466, 1.0344846147902316, 0.8906747800486584, 0.5012453407700169, 5.113, 
0.06048473933590701, 1.104688713665023, 0.05430233729166048, 1.0715004660492111, 1.0373489843507915, 1.0329218828124584, 0.8571035688905168, 0.5993187005900888, 5.139, 
0.03639248184291775, 1.1011121786869242, 0.04311572844722904, 1.0687588573860909, 1.0360514660772335, 1.0315692727434636, 0.8136551840789814, 0.6932460328568231, 5.154, 
0.03307428069285234, 1.0939688110793115, 0.036769357041473785, 1.0658318214359437, 1.0324633195872934, 1.0323193097668484, 0.7608524765371024, 0.7819875828254593, 5.218, 
0.03328362138744534, 1.131426625005825, 0.03466080113645831, 1.0888938876509378, 1.0369083108393138, 1.0501351722888062, 0.6993284565863305, 0.8645500824936374, 5.248, 
0.3993343889287193, 1.122821241833231, 0.25973857560527286, 1.0947041451173596, 1.034223179309563, 1.0584796077072773, 0.6295882090595729, 0.9401554006061901, 5.283, 
0.02598209419079719, 1.1412113188818012, 0.11500060121788483, 1.1096987883653007, 1.037917011709235, 1.069159456725597, 0.5525350480980606, 1.007816311494436, 5.31, 
0.08613518604236402, 1.1670596608594703, 0.09705021920367451, 1.126242966466847, 1.0415571265105783, 1.0813069564796536, 0.46812979673115535, 1.0673194194939173, 5.347, 
